Ref,Step no,Step,Substep — still to do,Actor,Mode,Precondition,Substep — done,Column,Kind,Outcome,Audience,Surface,Text,Built
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Written to the trail when it fails,trail row,fails,,,① code → customer failed,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Written to the trail when it fails,trail row,fails,,,① code → customer bounced — hard,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Written to the trail when it fails,trail row,fails,,,① code → customer bounced — soft,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Written to the trail when it fails,trail row,fails,,,① code → customer bounced,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Written to the trail when it fails,trail row,fails,,,① code → customer complained,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Shown to someone when it fails,message,fails,Customer,checkout flow,“That email address doesn’t exist. Please check it for a typo and try again.”,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Shown to someone when it fails,message,fails,Customer,checkout flow,"“That inbox couldn’t accept our email. It may be full, so please try a different address.”",yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Shown to someone when it fails,message,fails,Customer,checkout flow,"“We couldn’t deliver your code to that address. Check it for a typo, or try a different email.”",yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Shown to someone when it fails,message,fails,Customer,checkout flow,“We couldn’t send your code — please check the address and try again.”,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Shown to someone when it fails,message,fails,Customer,checkout flow,“We couldn’t send your code — please try again in a moment.”,yes
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,Written to the trail when it works,trail row,works,,,① code → customer,yes
