Ref,Step no,Step,Substep — still to do,Actor,Mode,Precondition,Substep — done,Substep is new,Written to the trail when it fails,Shown to someone when it fails,Written to the trail when it works,Shown to someone when it works
1a,1,Draft,Send Code,System,automated,automated — fires the moment the draft row is created,Code Sent,,"① code → customer failed
① code → customer bounced — hard
① code → customer bounced — soft
① code → customer bounced
① code → customer complained","Customer [checkout flow] “That email address doesn’t exist. Please check it for a typo and try again.”
Customer [checkout flow] “That inbox couldn’t accept our email. It may be full, so please try a different address.”
Customer [checkout flow] “We couldn’t deliver your code to that address. Check it for a typo, or try a different email.”
Customer [checkout flow] “We couldn’t send your code — please check the address and try again.”
Customer [checkout flow] “We couldn’t send your code — please try again in a moment.”","① code → customer
① code → customer delivered","Customer [checkout flow] “Enter the code from your email.”
Customer [checkout flow] “We’ve sent a new code.” on a resend"
1b,1,Draft,Prove Email,Customer,manual,manual — types the six digits,Email Proven,,"code rejected — wrong code — 1 of 5 attempts spent
code rejected — wrong code — 2 of 5 attempts spent
code rejected — wrong code — 3 of 5 attempts spent
code rejected — wrong code — 4 of 5 attempts spent
code rejected — wrong code — 5 of 5 attempts spent
code rejected — 5 attempts spent
code rejected — the window had closed
code rejected — no code outstanding","Customer [checkout flow] “That code doesn’t match. Check the email and try again.”
Customer [checkout flow] “Too many incorrect attempts. Ask for a new code to try again.”
Customer [checkout flow] “We haven’t sent a code yet. Ask for a new one below.”
Customer [checkout flow] “Too many attempts. Please wait a few minutes.”
Customer [checkout flow] “Too many code requests. Please wait a few minutes.” on the resend","code accepted
code accepted — on attempt 2
code accepted — on attempt 3
code accepted — on attempt 4
code accepted — on attempt 5","Customer [checkout flow] the upload step opens — no message, the screen simply advances"
2a,2,Upload,Attach File/s,Customer,manual,manual — picks files from their device,File/s Attached,,"intake rejected — over the size limit  ← not built
intake rejected — file type not supported  ← not built
intake rejected — the file was empty  ← not built
intake rejected — over the file-count limit  ← not built
intake upload stopped partway  ← not built
intake upload failed — storage unreachable  ← not built
intake never uploaded — the flow window after hand-off  ← not built","Customer [checkout flow] “You can attach up to 5 files.”
Customer [checkout flow] “Files must be under 50 MB.”
Customer [checkout flow] “That file type isn’t supported.”
Customer [checkout flow] “That file is empty.”
Customer [checkout flow] “Your session has expired. Please start again.”
Customer [checkout flow] “Please attach at least one file first.” on trying to advance","files attached — 1 intake  ← not built
files attached — 2 intake  ← not built
files attached — 3 intake  ← not built
files attached — 4 intake  ← not built
files attached — 5 intake  ← not built",Customer [checkout flow] each file appears in the list with its size
2b,2,Upload,Clear Payment,Customer,manual,manual — submits the card,Payment Cleared,,"declined — a row of its own, not just the notice  ← not built
card declined → customer
card declined → customer delivered
card declined → customer failed
card declined → customer bounced — hard
card declined → customer bounced — soft
card declined → customer bounced
card declined → customer complained","Customer [checkout flow] “That card didn’t go through”
Customer [checkout flow] “That payment didn’t go through.”
Customer [checkout flow] “We couldn’t start the payment. Please try again.”
Customer [checkout flow] “Your payment is still processing. We’ll email you as soon as it clears.”
Customer [email] the decline email, carrying a way back in
Customer [checkout flow] “That submission expired, so we’ve started you fresh.”  ← not built","payment cleared — confirmed in the browser  ← not built
payment cleared — confirmed by webhook  ← not built
payment cleared — already paid, second caller no-ops  ← not built
payment cleared — 3-D Secure, returned via /api/payment/return  ← not built",Customer [checkout flow] the confirmation screen
3a,3,New,Send Receipt,System,automated,automated — fires on payment clearing,Receipt Sent,,"② receipt → customer failed
② receipt → customer bounced — hard
② receipt → customer bounced — soft
② receipt → customer bounced
② receipt → customer complained",Admin [operator portal] “The receipt to {customer} bounced — they may not know their submission arrived.”  ← not built,"② receipt → customer
② receipt → customer delivered","Customer [email] ② the receipt, listing every file"
3b,3,New,Inform Admin,System,automated,automated — fires on payment clearing,Admin Informed,,"② New submission → Admin failed
② New submission → Admin bounced — hard
② New submission → Admin bounced — soft
② New submission → Admin bounced
② New submission → Admin complained",Admin [operator portal] a banner on the row — “Your new-submission notice bounced. Check the address on your account.”  ← not built,"② New submission → Admin
② New submission → Admin delivered",Admin [email] ② the new-submission notice
3c,3,New,Update Client,System,automated,automated — fires on arrival at New,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Welcome — your submission is in and we're finding you a coach.”  ← not built,Customer [status page] “Welcome — your submission is in and we're finding you a coach.”  ← not built
4a,4,Assign,Assess Coach Fit,System,automated,automated — scores every active coach on focus and language,Coach Fit Assessed,yes,"no active coach covers that focus  ← not built
no eligible coach shares a language — translation unavoidable  ← not built","Admin [operator portal] “No active coach covers that focus.”  ← not built
Admin [operator portal] “No coach who covers this focus shares the client’s language — a translation will be needed whoever you pick.”  ← not built","coach fit assessed — {n} eligible on focus  ← not built
coach fit assessed — {n} of those share a language  ← not built","Admin [operator portal] the assign list shows each eligible coach and whether picking them needs a translation  ← not built
Admin [operator portal] “{n} coaches cover this focus. {m} of them read the client’s language.”  ← not built"
4b,4,Assign,Assign Coach,Admin,manual,"manual — picks from the eligible list, cost shown per option",Coach Assigned,,"coach already assigned — reassignment refused  ← not built
coach assignment failed — the pick is no longer eligible — reassess fit  ← not built","Admin [operator portal] “This has already gone to a coach. Reload to see where it is.”  ← not built
Admin [operator portal] “The pick is no longer eligible — reassess fit.”  ← not built
Admin [operator portal] “That didn’t go through — try again.”  ← not built","coach assigned — {coachId}  ← not built
coach unassigned — {coachId}  ← not built","Admin [operator portal] the coach’s name appears on the row  ← not built
Admin [operator portal] “Two coachs on this one.”  ← not built
Admin [operator portal] “Reassigned — {name} has it now.”  ← not built"
4c,4,Assign,Update Client,System,automated,automated — fires once the coach is on the row,Client Updated,yes,client status update failed — the page still shows the previous line  ← not built,Admin [operator portal] “The client’s status page didn’t update — it still shows the previous step.”  ← not built,client status — “Your coach has been assigned.”  ← not built,Customer [status page] “Your coach has been assigned.”  ← not built
